text,branch,semester,subject,subject_code,month,year,html_url,pdf_url
BTECH-ECE-3-SEM-ELECTRONIC-DEVICES-3035-DEC-2025,ECE,3,ELECTRONIC DEVICES,3035,DEC,2025,https://www.mdustudy.com/papers/btech-ece-3-sem-electronic-devices-3035-dec-2025.html,https://www.mdustudy.com/papers/btech-ece-3-sem-electronic-devices-3035-dec-2025.pdf
BTECH-ECE-3-SEM-SIGNAL-AND-SYSTEM-3037-DEC-2025,ECE,3,SIGNAL AND SYSTEM,3037,DEC,2025,https://www.mdustudy.com/papers/btech-ece-3-sem-signal-and-system-3037-dec-2025.html,https://www.mdustudy.com/papers/btech-ece-3-sem-signal-and-system-3037-dec-2025.pdf
BTECH-2-SEM-BASIC-ELECTRICAL-ENGG-3010-MAY-2024,COMMON/N/A,2,BASIC ELECTRICAL ENGG,3010,MAY,2024,https://www.mdustudy.com/papers/btech-2-sem-basic-electrical-engg-3010-may-2024.html,https://www.mdustudy.com/papers/btech-2-sem-basic-electrical-engg-3010-may-2024.pdf
BTECH-2-SEM-PROBABILITY-AND-STATISTICS-3016-MAY-2024,COMMON/N/A,2,PROBABILITY AND STATISTICS,3016,MAY,2024,https://www.mdustudy.com/papers/btech-2-sem-probability-and-statistics-3016-may-2024.html,https://www.mdustudy.com/papers/btech-2-sem-probability-and-statistics-3016-may-2024.pdf
BTECH-CSE-6-SEM-ADVANCED-DATABASE-MANAGEMENT-SYSTEM-3337-MAY-2023,CSE,6,ADVANCED DATABASE MANAGEMENT SYSTEM,3337,MAY,2023,https://www.mdustudy.com/papers/btech-cse-6-sem-advanced-database-management-system-3337-may-2023.html,https://www.mdustudy.com/papers/btech-cse-6-sem-advanced-database-management-system-3337-may-2023.pdf
BTECH-CSE-6-SEM-ADVANCED-JAVA-3335-MAY-2023,CSE,6,ADVANCED JAVA,3335,MAY,2023,https://www.mdustudy.com/papers/btech-cse-6-sem-advanced-java-3335-may-2023.html,https://www.mdustudy.com/papers/btech-cse-6-sem-advanced-java-3335-may-2023.pdf
BTECH-CSE-6-SEM-ARTIFICIAL-INTELLIGENCE-3334-MAY-2023,CSE,6,ARTIFICIAL INTELLIGENCE,3334,MAY,2023,https://www.mdustudy.com/papers/btech-cse-6-sem-artificial-intelligence-3334-may-2023.html,https://www.mdustudy.com/papers/btech-cse-6-sem-artificial-intelligence-3334-may-2023.pdf
BTECH-ME-3-SEM-BASICS-OF-ELECTRONICS-ENGINEERING-3058-NOV-2023,ME,3,BASICS OF ELECTRONICS ENGINEERING,3058,NOV,2023,https://www.mdustudy.com/papers/btech-me-3-sem-basics-of-electronics-engineering-3058-nov-2023.html,https://www.mdustudy.com/papers/btech-me-3-sem-basics-of-electronics-engineering-3058-nov-2023.pdf
BTECH-ME-3-SEM-BASICS-OF-MECHANICAL-ENGINEERING-3059-NOV-2023,ME,3,BASICS OF MECHANICAL ENGINEERING,3059,NOV,2023,https://www.mdustudy.com/papers/btech-me-3-sem-basics-of-mechanical-engineering-3059-nov-2023.html,https://www.mdustudy.com/papers/btech-me-3-sem-basics-of-mechanical-engineering-3059-nov-2023.pdf
BTECH-BT-3-SEM-BIOLOGY-NOV-2023,BT,3,BIOLOGY,N/A,NOV,2023,https://www.mdustudy.com/papers/btech-bt-3-sem-biology-nov-2023.html,https://www.mdustudy.com/papers/btech-bt-3-sem-biology-nov-2023.pdf
BTECH-CSE-6-SEM-COMPILER-DESIGN-3333-MAY-2023,CSE,6,COMPILER DESIGN,3333,MAY,2023,https://www.mdustudy.com/papers/btech-cse-6-sem-compiler-design-3333-may-2023.html,https://www.mdustudy.com/papers/btech-cse-6-sem-compiler-design-3333-may-2023.pdf
BTECH-CIVIL-7-SEM-DESIGN-OF-HYDRAULIC-STRUCTURE-3523-NOV-2023,CIVIL,7,DESIGN OF HYDRAULIC STRUCTURE,3523,NOV,2023,https://www.mdustudy.com/papers/btech-civil-7-sem-design-of-hydraulic-structure-3523-nov-2023.html,https://www.mdustudy.com/papers/btech-civil-7-sem-design-of-hydraulic-structure-3523-nov-2023.pdf
BTECH-ME-3-SEM-ENGINEERING-MECHANICS-3073-NOV-2023,ME,3,ENGINEERING MECHANICS,3073,NOV,2023,https://www.mdustudy.com/papers/btech-me-3-sem-engineering-mechanics-3073-nov-2023.html,https://www.mdustudy.com/papers/btech-me-3-sem-engineering-mechanics-3073-nov-2023.pdf
BTECH-1-SEM-ENGLISH-3014-DEC-2023,COMMON/N/A,1,ENGLISH,3014,DEC,2023,https://www.mdustudy.com/papers/btech-1-sem-english-3014-dec-2023.html,https://www.mdustudy.com/papers/btech-1-sem-english-3014-dec-2023.pdf
BTECH-CIVIL-3-SEM-MATHEMATICS-3-3026-NOV-2023,CIVIL,3,MATHEMATICS 3,3026,NOV,2023,https://www.mdustudy.com/papers/btech-civil-3-sem-mathematics-3-3026-nov-2023.html,https://www.mdustudy.com/papers/btech-civil-3-sem-mathematics-3-3026-nov-2023.pdf
BTECH-ME-3-SEM-MATHEMATICS-3-PDF-PROBABILITY-AND-STATISTICS-3057-NOV-2023,ME,3,MATHEMATICS 3 PDF PROBABILITY AND STATISTICS,3057,NOV,2023,https://www.mdustudy.com/papers/btech-me-3-sem-mathematics-3-pdf-probability-and-statistics-3057-nov-2023.html,https://www.mdustudy.com/papers/btech-me-3-sem-mathematics-3-pdf-probability-and-statistics-3057-nov-2023.pdf
BTECH-CSE-6-SEM-MOBILE-AND-WIRELESS-COMMUNICATION-3336-MAY-2023,CSE,6,MOBILE AND WIRELESS COMMUNICATION,3336,MAY,2023,https://www.mdustudy.com/papers/btech-cse-6-sem-mobile-and-wireless-communication-3336-may-2023.html,https://www.mdustudy.com/papers/btech-cse-6-sem-mobile-and-wireless-communication-3336-may-2023.pdf
BTECH-2-SEM-PROBABILITY-AND-STATISTICS-3016-MAY-2023,COMMON/N/A,2,PROBABILITY AND STATISTICS,3016,MAY,2023,https://www.mdustudy.com/papers/btech-2-sem-probability-and-statistics-3016-may-2023.html,https://www.mdustudy.com/papers/btech-2-sem-probability-and-statistics-3016-may-2023.pdf
BTECH-ME-3-SEM-THERMODYNAMICS-3060-NOV-2023,ME,3,THERMODYNAMICS,3060,NOV,2023,https://www.mdustudy.com/papers/btech-me-3-sem-thermodynamics-3060-nov-2023.html,https://www.mdustudy.com/papers/btech-me-3-sem-thermodynamics-3060-nov-2023.pdf
BTECH-1-SEM-WORKSHOP-TECHNOLOGY-3013-NOV-2023,COMMON/N/A,1,WORKSHOP TECHNOLOGY,3013,NOV,2023,https://www.mdustudy.com/papers/btech-1-sem-workshop-technology-3013-nov-2023.html,https://www.mdustudy.com/papers/btech-1-sem-workshop-technology-3013-nov-2023.pdf
BTECH-CIVIL-7-SEM-ADVANCED-STEEL-STRUCTURE-3522-DEC-2022,CIVIL,7,ADVANCED STEEL STRUCTURE,3522,DEC,2022,https://www.mdustudy.com/papers/btech-civil-7-sem-advanced-steel-structure-3522-dec-2022.html,https://www.mdustudy.com/papers/btech-civil-7-sem-advanced-steel-structure-3522-dec-2022.pdf
