Player Name,Player Profile URL,Rank,Team,Wickets,Matches,Innings,Overs,Runs Conceded,Best Bowling,Average,Economy,Strike Rate,4 Wicket Hauls,5 Wicket Hauls
Yuzvendra Chahal,https://www.iplt20.com/players/yuzvendra-chahal/111,1,RR,27,17,17,68.0,527,40/5,19.51,7.75,15.11,1,1
Wanindu Hasaranga,https://www.iplt20.com/players/wanindu-hasaranga/3082,2,RCB,26,16,16,57.0,430,18/5,16.53,7.54,13.15,1,1
Kagiso Rabada,https://www.iplt20.com/players/kagiso-rabada/1664,3,PBKS,23,13,13,48.0,406,33/4,17.65,8.45,12.52,2,0
Umran Malik,https://www.iplt20.com/players/umran-malik/15154,4,SRH,22,14,14,49.1,444,25/5,20.18,9.03,13.40,1,1
Kuldeep Yadav,https://www.iplt20.com/players/kuldeep-yadav/261,5,DC,21,14,14,49.4,419,14/4,19.95,8.43,14.19,2,0
Mohammad Shami,https://www.iplt20.com/players/mohammad-shami/94,6,GT,20,16,16,61.0,488,25/3,24.40,8.00,18.30,0,0
Josh Hazlewood,https://www.iplt20.com/players/josh-hazlewood/857,7,RCB,20,12,12,46.3,377,25/4,18.85,8.10,13.95,1,0
Rashid Khan,https://www.iplt20.com/players/rashid-khan/2885,8,GT,19,16,16,63.5,421,24/4,22.15,6.59,20.15,1,0
Harshal Patel,https://www.iplt20.com/players/harshal-patel/157,9,RCB,19,15,15,53.3,410,34/4,21.57,7.66,16.89,1,0
Prasidh Krishna,https://www.iplt20.com/players/prasidh-krishna/5105,10,RR,19,17,17,66.3,551,22/3,29.00,8.28,21.00,0,0
Avesh Khan,https://www.iplt20.com/players/avesh-khan/1561,11,LSG,18,13,13,47.4,416,24/4,23.11,8.72,15.88,1,0
T Natarajan,https://www.iplt20.com/players/t-natarajan/3831,12,SRH,18,11,11,43.0,406,10/3,22.55,9.44,14.33,0,0
Andre Russell,https://www.iplt20.com/players/andre-russell/177,13,KKR,17,14,13,28.1,278,5/4,16.35,9.86,9.94,1,0
Umesh Yadav,https://www.iplt20.com/players/umesh-yadav/59,14,KKR,16,12,12,48.0,339,23/4,21.18,7.06,18.00,1,0
Trent Boult,https://www.iplt20.com/players/trent-boult/969,15,RR,16,16,16,62.0,492,18/2,30.75,7.93,23.25,0,0
Khaleel Ahmed,https://www.iplt20.com/players/khaleel-ahmed/2964,16,DC,16,10,10,39.1,315,25/3,19.68,8.04,14.68,0,0
Dwayne Bravo,https://www.iplt20.com/players/dwayne-bravo/25,17,CSK,16,10,10,34.2,299,20/3,18.68,8.70,12.87,0,0
Mukesh Choudhary,https://www.iplt20.com/players/mukesh-choudhary/20575,18,CSK,16,13,13,45.3,424,46/4,26.50,9.31,17.06,1,0
Jasprit Bumrah,https://www.iplt20.com/players/jasprit-bumrah/1124,19,MI,15,14,14,53.2,383,10/5,25.53,7.18,21.33,0,1
Shardul Thakur,https://www.iplt20.com/players/shardul-thakur/1745,20,DC,15,14,14,48.2,473,36/4,31.53,9.78,19.33,1,0
Mohsin Khan,https://www.iplt20.com/players/mohsin-khan/4952,21,LSG,14,9,9,33.0,197,16/4,14.07,5.96,14.14,1,0
Rahul Chahar,https://www.iplt20.com/players/rahul-chahar/3763,22,PBKS,14,13,13,46.4,360,25/3,25.71,7.71,20.00,0,0
Tim Southee,https://www.iplt20.com/players/tim-southee/307,23,KKR,14,9,9,35.0,275,20/3,19.64,7.85,15.00,0,0
